2022-03-04 11:16:18.648 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.m2m.management.ManagementApplicationTests], using SpringBootContextLoader
2022-03-04 11:16:18.656 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.m2m.management.ManagementApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-04 11:16:18.658 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.m2m.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-03-04 11:16:18.855 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.m2m.management.ManagementApplication for test class com.m2m.management.ManagementApplicationTests
2022-03-04 11:16:19.018 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2022-03-04 11:16:19.049 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@483f6d77, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7e5afaa6, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@63a12c68, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@28f3b248, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1b1426f4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32b260fa, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@581ac8a8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6d4e5011, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@57d7f8ca, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@76c3e77a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@78123e82, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@67c33749]
2022-03-04 11:16:19.289 [main] INFO  com.m2m.management.ManagementApplicationTests - Starting ManagementApplicationTests on gangqiangsun-QiTianM610-N000 with PID 20550 (started by root in /home/gangqiangsun/MYPROJECT/BACKEND/m2m-management-ensaas-single)
2022-03-04 11:16:19.290 [main] INFO  com.m2m.management.ManagementApplicationTests - No active profile set, falling back to default profiles: default
2022-03-04 11:16:20.310 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2022-03-04 11:16:20.425 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 105ms. Found 18 repository interfaces.
2022-03-04 11:16:20.923 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$6f5699ae] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-03-04 11:16:20.949 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$eed6e6e0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-03-04 11:16:21.913 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2022-03-04 11:16:22.001 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
2022-03-04 11:16:22.002 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2022-03-04 11:16:22.218 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2022-03-04 11:16:22.404 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2022-03-04 11:16:22.415 [main] INFO  o.h.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2022-03-04 11:16:22.420 [main] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@45e617c4
2022-03-04 11:16:24.466 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-03-04 11:16:25.171 [main] INFO  o.h.hql.internal.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2022-03-04 11:16:26.224 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-03-04 11:16:26.281 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-03-04 11:16:26.446 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [aStore/index.html]
2022-03-04 11:16:26.656 [main] INFO  com.m2m.management.ManagementApplicationTests - Started ManagementApplicationTests in 7.583 seconds (JVM running for 8.597)
2022-03-04 11:16:26.940 [Thread-3] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2022-03-04 11:16:26.948 [Thread-3] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-03-04 11:38:25.825 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.m2m.management.ManagementApplicationTests], using SpringBootContextLoader
2022-03-04 11:38:25.829 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.m2m.management.ManagementApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-03-04 11:38:25.829 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.m2m.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
