2026-04-14 13:42:57.747 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.m2m.management.ManagementApplicationTests], using SpringBootContextLoader
2026-04-14 13:42:57.752 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.m2m.management.ManagementApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2026-04-14 13:42:57.753 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.m2m.management.ManagementApplicationTests]: ManagementApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2026-04-14 13:42:57.934 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.m2m.management.ManagementApplication for test class com.m2m.management.ManagementApplicationTests
2026-04-14 13:42:58.125 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2026-04-14 13:42:58.146 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@82de64a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@659499f1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e69659, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@47e2e487, org.springframework.test.context.support.DirtiesContextTestExecutionListener@201a4587, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61001b64, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4310d43, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@54a7079e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@26e356f0, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@47d9a273, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4b8ee4de, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@27f981c6]
2026-04-14 13:42:58.653 [main] INFO  com.m2m.management.ManagementApplicationTests - Starting ManagementApplicationTests on gangqiangsun-VirtualBox with PID 6539 (started by root in /home/gangqiangsun/MYPROJECT/BACKEND/m2m-management-ensaas-edgehub)
2026-04-14 13:42:58.656 [main] INFO  com.m2m.management.ManagementApplicationTests - No active profile set, falling back to default profiles: default
2026-04-14 13:43:00.317 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2026-04-14 13:43:00.609 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 282ms. Found 18 repository interfaces.
2026-04-14 13:43:01.635 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$e6a4c9ff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-04-14 13:43:01.751 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$66251731] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-04-14 13:43:04.101 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2026-04-14 13:43:04.191 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.7.Final}
2026-04-14 13:43:04.193 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2026-04-14 13:43:04.373 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2026-04-14 13:43:04.542 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2026-04-14 13:43:04.558 [main] INFO  o.h.engine.jdbc.env.internal.LobCreatorBuilderImpl - HHH000422: Disabling contextual LOB creation as connection was null
2026-04-14 13:43:04.563 [main] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@40d52be7
2026-04-14 13:43:08.975 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
